month,price,source
2024-01,2.522,BLS APU0000708111
2024-02,2.996,BLS APU0000708111
2024-03,2.992,BLS APU0000708111
2024-04,2.864,BLS APU0000708111
2024-05,2.699,BLS APU0000708111
2024-06,2.715,BLS APU0000708111
2024-07,3.08,BLS APU0000708111
2024-08,3.204,BLS APU0000708111
2024-09,3.821,BLS APU0000708111
2024-10,3.37,BLS APU0000708111
2024-11,3.649,BLS APU0000708111
2024-12,4.146,BLS APU0000708111
2025-01,4.953,BLS APU0000708111
2025-02,5.897,BLS APU0000708111
2025-03,6.227,BLS APU0000708111
2025-04,5.122,BLS APU0000708111
2025-05,4.548,BLS APU0000708111
2025-06,3.775,BLS APU0000708111
2025-07,3.599,BLS APU0000708111
2025-08,3.587,BLS APU0000708111
2025-09,3.488,BLS APU0000708111
2025-11,2.86,BLS APU0000708111
2025-12,2.712,BLS APU0000708111
2026-01,2.577,BLS APU0000708111
2026-02,2.5,BLS APU0000708111
2026-03,2.348,BLS APU0000708111
2026-04,2.25,BLS APU0000708111
