week,price_per_dozen,source
2024-05-05,0.899,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-05-12,0.865,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-05-19,0.856,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-05-26,0.89,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-06-02,0.874,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-06-09,0.917,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-06-16,0.906,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-06-23,0.956,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-06-30,0.938,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-07-07,0.91,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-07-14,0.958,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-07-21,0.977,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-07-28,0.94,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-08-04,0.953,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-08-11,0.905,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-08-18,1.01,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-08-25,0.974,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-09-01,0.936,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-09-08,0.95,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-09-15,0.999,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-09-22,1.031,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-09-29,1.009,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-10-06,1.028,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-10-13,0.984,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-10-20,0.98,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-10-27,1.05,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-11-03,1.041,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-11-10,1.028,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-11-17,1.07,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-11-24,1.006,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-12-01,1.025,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-12-08,1.071,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-12-15,1.098,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-12-22,1.046,USDA AMS breaker eggs (seeded — fetcher TBD)
2024-12-29,1.099,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-01-05,1.023,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-01-12,1.035,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-01-19,1.005,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-01-26,0.947,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-02-02,0.987,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-02-09,0.991,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-02-16,0.943,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-02-23,0.93,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-03-02,0.958,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-03-09,0.864,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-03-16,0.841,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-03-23,0.85,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-03-30,0.819,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-04-06,0.878,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-04-13,0.83,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-04-20,0.777,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-04-27,0.768,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-05-04,0.855,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-05-11,0.733,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-05-18,0.712,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-05-25,0.726,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-06-01,0.719,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-06-08,0.689,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-06-15,0.638,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-06-22,0.614,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-06-29,0.649,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-07-06,0.612,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-07-13,0.547,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-07-20,0.615,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-07-27,0.586,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-08-03,0.538,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-08-10,0.52,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-08-17,0.518,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-08-24,0.473,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-08-31,0.436,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-09-07,0.469,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-09-14,0.399,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-09-21,0.436,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-09-28,0.364,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-10-05,0.387,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-10-12,0.369,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-10-19,0.409,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-10-26,0.307,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-11-02,0.279,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-11-09,0.285,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-11-16,0.253,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-11-23,0.252,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-11-30,0.265,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-12-07,0.261,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-12-14,0.273,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-12-21,0.186,USDA AMS breaker eggs (seeded — fetcher TBD)
2025-12-28,0.273,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-01-04,0.238,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-01-11,0.158,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-01-18,0.081,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-01-25,0.132,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-02-01,0.122,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-02-08,0.055,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-02-15,0.13,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-02-22,0.126,USDA AMS breaker eggs (seeded — fetcher TBD)
2026-03-01,0.112,USDA AMS breaker eggs (seeded — fetcher TBD)
