week,term,interest
2021-05-16,cage free eggs,5
2021-05-16,organic eggs,11
2021-05-16,pasture raised eggs,8
2021-05-16,regenerative eggs,0
2021-05-23,cage free eggs,4
2021-05-23,organic eggs,13
2021-05-23,pasture raised eggs,9
2021-05-23,regenerative eggs,0
2021-05-30,cage free eggs,5
2021-05-30,organic eggs,11
2021-05-30,pasture raised eggs,9
2021-05-30,regenerative eggs,0
2021-06-06,cage free eggs,5
2021-06-06,organic eggs,11
2021-06-06,pasture raised eggs,6
2021-06-06,regenerative eggs,0
2021-06-13,cage free eggs,5
2021-06-13,organic eggs,11
2021-06-13,pasture raised eggs,5
2021-06-13,regenerative eggs,0
2021-06-20,cage free eggs,5
2021-06-20,organic eggs,10
2021-06-20,pasture raised eggs,6
2021-06-20,regenerative eggs,0
2021-06-27,cage free eggs,6
2021-06-27,organic eggs,10
2021-06-27,pasture raised eggs,5
2021-06-27,regenerative eggs,0
2021-07-04,cage free eggs,6
2021-07-04,organic eggs,11
2021-07-04,pasture raised eggs,6
2021-07-04,regenerative eggs,0
2021-07-11,cage free eggs,4
2021-07-11,organic eggs,11
2021-07-11,pasture raised eggs,7
2021-07-11,regenerative eggs,0
2021-07-18,cage free eggs,5
2021-07-18,organic eggs,10
2021-07-18,pasture raised eggs,9
2021-07-18,regenerative eggs,0
2021-07-25,cage free eggs,4
2021-07-25,organic eggs,10
2021-07-25,pasture raised eggs,8
2021-07-25,regenerative eggs,0
2021-08-01,cage free eggs,4
2021-08-01,organic eggs,11
2021-08-01,pasture raised eggs,6
2021-08-01,regenerative eggs,0
2021-08-08,cage free eggs,4
2021-08-08,organic eggs,12
2021-08-08,pasture raised eggs,5
2021-08-08,regenerative eggs,0
2021-08-15,cage free eggs,5
2021-08-15,organic eggs,11
2021-08-15,pasture raised eggs,5
2021-08-15,regenerative eggs,0
2021-08-22,cage free eggs,5
2021-08-22,organic eggs,10
2021-08-22,pasture raised eggs,5
2021-08-22,regenerative eggs,0
2021-08-29,cage free eggs,4
2021-08-29,organic eggs,11
2021-08-29,pasture raised eggs,6
2021-08-29,regenerative eggs,0
2021-09-05,cage free eggs,5
2021-09-05,organic eggs,10
2021-09-05,pasture raised eggs,5
2021-09-05,regenerative eggs,0
2021-09-12,cage free eggs,4
2021-09-12,organic eggs,11
2021-09-12,pasture raised eggs,5
2021-09-12,regenerative eggs,0
2021-09-19,cage free eggs,5
2021-09-19,organic eggs,10
2021-09-19,pasture raised eggs,7
2021-09-19,regenerative eggs,0
2021-09-26,cage free eggs,5
2021-09-26,organic eggs,11
2021-09-26,pasture raised eggs,7
2021-09-26,regenerative eggs,0
2021-10-03,cage free eggs,5
2021-10-03,organic eggs,10
2021-10-03,pasture raised eggs,5
2021-10-03,regenerative eggs,0
2021-10-10,cage free eggs,5
2021-10-10,organic eggs,12
2021-10-10,pasture raised eggs,6
2021-10-10,regenerative eggs,0
2021-10-17,cage free eggs,5
2021-10-17,organic eggs,12
2021-10-17,pasture raised eggs,7
2021-10-17,regenerative eggs,0
2021-10-24,cage free eggs,5
2021-10-24,organic eggs,11
2021-10-24,pasture raised eggs,7
2021-10-24,regenerative eggs,0
2021-10-31,cage free eggs,5
2021-10-31,organic eggs,10
2021-10-31,pasture raised eggs,4
2021-10-31,regenerative eggs,0
2021-11-07,cage free eggs,4
2021-11-07,organic eggs,11
2021-11-07,pasture raised eggs,5
2021-11-07,regenerative eggs,0
2021-11-14,cage free eggs,4
2021-11-14,organic eggs,9
2021-11-14,pasture raised eggs,5
2021-11-14,regenerative eggs,0
2021-11-21,cage free eggs,5
2021-11-21,organic eggs,8
2021-11-21,pasture raised eggs,5
2021-11-21,regenerative eggs,0
2021-11-28,cage free eggs,5
2021-11-28,organic eggs,12
2021-11-28,pasture raised eggs,10
2021-11-28,regenerative eggs,0
2021-12-05,cage free eggs,5
2021-12-05,organic eggs,11
2021-12-05,pasture raised eggs,7
2021-12-05,regenerative eggs,0
2021-12-12,cage free eggs,6
2021-12-12,organic eggs,9
2021-12-12,pasture raised eggs,7
2021-12-12,regenerative eggs,0
2021-12-19,cage free eggs,6
2021-12-19,organic eggs,11
2021-12-19,pasture raised eggs,6
2021-12-19,regenerative eggs,0
2021-12-26,cage free eggs,5
2021-12-26,organic eggs,11
2021-12-26,pasture raised eggs,6
2021-12-26,regenerative eggs,0
2022-01-02,cage free eggs,8
2022-01-02,organic eggs,17
2022-01-02,pasture raised eggs,9
2022-01-02,regenerative eggs,0
2022-01-09,cage free eggs,7
2022-01-09,organic eggs,15
2022-01-09,pasture raised eggs,9
2022-01-09,regenerative eggs,0
2022-01-16,cage free eggs,8
2022-01-16,organic eggs,15
2022-01-16,pasture raised eggs,9
2022-01-16,regenerative eggs,0
2022-01-23,cage free eggs,9
2022-01-23,organic eggs,15
2022-01-23,pasture raised eggs,8
2022-01-23,regenerative eggs,0
2022-01-30,cage free eggs,7
2022-01-30,organic eggs,17
2022-01-30,pasture raised eggs,7
2022-01-30,regenerative eggs,0
2022-02-06,cage free eggs,8
2022-02-06,organic eggs,15
2022-02-06,pasture raised eggs,8
2022-02-06,regenerative eggs,0
2022-02-13,cage free eggs,8
2022-02-13,organic eggs,16
2022-02-13,pasture raised eggs,7
2022-02-13,regenerative eggs,0
2022-02-20,cage free eggs,7
2022-02-20,organic eggs,14
2022-02-20,pasture raised eggs,10
2022-02-20,regenerative eggs,0
2022-02-27,cage free eggs,6
2022-02-27,organic eggs,14
2022-02-27,pasture raised eggs,9
2022-02-27,regenerative eggs,0
2022-03-06,cage free eggs,6
2022-03-06,organic eggs,17
2022-03-06,pasture raised eggs,8
2022-03-06,regenerative eggs,0
2022-03-13,cage free eggs,6
2022-03-13,organic eggs,17
2022-03-13,pasture raised eggs,9
2022-03-13,regenerative eggs,0
2022-03-20,cage free eggs,7
2022-03-20,organic eggs,18
2022-03-20,pasture raised eggs,8
2022-03-20,regenerative eggs,0
2022-03-27,cage free eggs,7
2022-03-27,organic eggs,17
2022-03-27,pasture raised eggs,8
2022-03-27,regenerative eggs,0
2022-04-03,cage free eggs,8
2022-04-03,organic eggs,19
2022-04-03,pasture raised eggs,10
2022-04-03,regenerative eggs,0
2022-04-10,cage free eggs,8
2022-04-10,organic eggs,18
2022-04-10,pasture raised eggs,10
2022-04-10,regenerative eggs,0
2022-04-17,cage free eggs,7
2022-04-17,organic eggs,17
2022-04-17,pasture raised eggs,12
2022-04-17,regenerative eggs,0
2022-04-24,cage free eggs,7
2022-04-24,organic eggs,17
2022-04-24,pasture raised eggs,12
2022-04-24,regenerative eggs,0
2022-05-01,cage free eggs,7
2022-05-01,organic eggs,15
2022-05-01,pasture raised eggs,9
2022-05-01,regenerative eggs,0
2022-05-08,cage free eggs,7
2022-05-08,organic eggs,15
2022-05-08,pasture raised eggs,11
2022-05-08,regenerative eggs,0
2022-05-15,cage free eggs,7
2022-05-15,organic eggs,16
2022-05-15,pasture raised eggs,9
2022-05-15,regenerative eggs,0
2022-05-22,cage free eggs,7
2022-05-22,organic eggs,14
2022-05-22,pasture raised eggs,9
2022-05-22,regenerative eggs,0
2022-05-29,cage free eggs,6
2022-05-29,organic eggs,14
2022-05-29,pasture raised eggs,7
2022-05-29,regenerative eggs,0
2022-06-05,cage free eggs,6
2022-06-05,organic eggs,15
2022-06-05,pasture raised eggs,10
2022-06-05,regenerative eggs,0
2022-06-12,cage free eggs,7
2022-06-12,organic eggs,16
2022-06-12,pasture raised eggs,12
2022-06-12,regenerative eggs,0
2022-06-19,cage free eggs,6
2022-06-19,organic eggs,15
2022-06-19,pasture raised eggs,9
2022-06-19,regenerative eggs,0
2022-06-26,cage free eggs,7
2022-06-26,organic eggs,15
2022-06-26,pasture raised eggs,11
2022-06-26,regenerative eggs,0
2022-07-03,cage free eggs,6
2022-07-03,organic eggs,14
2022-07-03,pasture raised eggs,13
2022-07-03,regenerative eggs,0
2022-07-10,cage free eggs,6
2022-07-10,organic eggs,14
2022-07-10,pasture raised eggs,10
2022-07-10,regenerative eggs,0
2022-07-17,cage free eggs,8
2022-07-17,organic eggs,13
2022-07-17,pasture raised eggs,9
2022-07-17,regenerative eggs,0
2022-07-24,cage free eggs,7
2022-07-24,organic eggs,14
2022-07-24,pasture raised eggs,10
2022-07-24,regenerative eggs,0
2022-07-31,cage free eggs,7
2022-07-31,organic eggs,16
2022-07-31,pasture raised eggs,11
2022-07-31,regenerative eggs,0
2022-08-07,cage free eggs,6
2022-08-07,organic eggs,14
2022-08-07,pasture raised eggs,10
2022-08-07,regenerative eggs,0
2022-08-14,cage free eggs,5
2022-08-14,organic eggs,16
2022-08-14,pasture raised eggs,9
2022-08-14,regenerative eggs,0
2022-08-21,cage free eggs,7
2022-08-21,organic eggs,14
2022-08-21,pasture raised eggs,10
2022-08-21,regenerative eggs,0
2022-08-28,cage free eggs,6
2022-08-28,organic eggs,14
2022-08-28,pasture raised eggs,10
2022-08-28,regenerative eggs,0
2022-09-04,cage free eggs,5
2022-09-04,organic eggs,13
2022-09-04,pasture raised eggs,9
2022-09-04,regenerative eggs,0
2022-09-11,cage free eggs,6
2022-09-11,organic eggs,13
2022-09-11,pasture raised eggs,10
2022-09-11,regenerative eggs,0
2022-09-18,cage free eggs,6
2022-09-18,organic eggs,13
2022-09-18,pasture raised eggs,9
2022-09-18,regenerative eggs,0
2022-09-25,cage free eggs,5
2022-09-25,organic eggs,12
2022-09-25,pasture raised eggs,8
2022-09-25,regenerative eggs,0
2022-10-02,cage free eggs,5
2022-10-02,organic eggs,15
2022-10-02,pasture raised eggs,10
2022-10-02,regenerative eggs,0
2022-10-09,cage free eggs,7
2022-10-09,organic eggs,16
2022-10-09,pasture raised eggs,10
2022-10-09,regenerative eggs,0
2022-10-16,cage free eggs,6
2022-10-16,organic eggs,14
2022-10-16,pasture raised eggs,9
2022-10-16,regenerative eggs,0
2022-10-23,cage free eggs,6
2022-10-23,organic eggs,14
2022-10-23,pasture raised eggs,8
2022-10-23,regenerative eggs,0
2022-10-30,cage free eggs,5
2022-10-30,organic eggs,15
2022-10-30,pasture raised eggs,9
2022-10-30,regenerative eggs,0
2022-11-06,cage free eggs,7
2022-11-06,organic eggs,13
2022-11-06,pasture raised eggs,10
2022-11-06,regenerative eggs,0
2022-11-13,cage free eggs,6
2022-11-13,organic eggs,13
2022-11-13,pasture raised eggs,9
2022-11-13,regenerative eggs,0
2022-11-20,cage free eggs,7
2022-11-20,organic eggs,13
2022-11-20,pasture raised eggs,9
2022-11-20,regenerative eggs,0
2022-11-27,cage free eggs,7
2022-11-27,organic eggs,14
2022-11-27,pasture raised eggs,9
2022-11-27,regenerative eggs,0
2022-12-04,cage free eggs,7
2022-12-04,organic eggs,18
2022-12-04,pasture raised eggs,10
2022-12-04,regenerative eggs,0
2022-12-11,cage free eggs,10
2022-12-11,organic eggs,15
2022-12-11,pasture raised eggs,9
2022-12-11,regenerative eggs,0
2022-12-18,cage free eggs,10
2022-12-18,organic eggs,14
2022-12-18,pasture raised eggs,8
2022-12-18,regenerative eggs,0
2022-12-25,cage free eggs,10
2022-12-25,organic eggs,17
2022-12-25,pasture raised eggs,11
2022-12-25,regenerative eggs,0
2023-01-01,cage free eggs,18
2023-01-01,organic eggs,24
2023-01-01,pasture raised eggs,13
2023-01-01,regenerative eggs,0
2023-01-08,cage free eggs,16
2023-01-08,organic eggs,29
2023-01-08,pasture raised eggs,15
2023-01-08,regenerative eggs,0
2023-01-15,cage free eggs,17
2023-01-15,organic eggs,29
2023-01-15,pasture raised eggs,17
2023-01-15,regenerative eggs,0
2023-01-22,cage free eggs,12
2023-01-22,organic eggs,27
2023-01-22,pasture raised eggs,18
2023-01-22,regenerative eggs,0
2023-01-29,cage free eggs,12
2023-01-29,organic eggs,24
2023-01-29,pasture raised eggs,13
2023-01-29,regenerative eggs,0
2023-02-05,cage free eggs,9
2023-02-05,organic eggs,21
2023-02-05,pasture raised eggs,11
2023-02-05,regenerative eggs,0
2023-02-12,cage free eggs,9
2023-02-12,organic eggs,22
2023-02-12,pasture raised eggs,11
2023-02-12,regenerative eggs,0
2023-02-19,cage free eggs,10
2023-02-19,organic eggs,20
2023-02-19,pasture raised eggs,11
2023-02-19,regenerative eggs,0
2023-02-26,cage free eggs,8
2023-02-26,organic eggs,19
2023-02-26,pasture raised eggs,12
2023-02-26,regenerative eggs,0
2023-03-05,cage free eggs,7
2023-03-05,organic eggs,21
