week,commercial_layer_cases,source
2024-01-07,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-01-14,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-01-21,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-01-28,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-02-04,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-02-11,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-02-18,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-02-25,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-03-03,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-03-10,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-03-17,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-03-24,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-03-31,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-04-07,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-04-14,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-04-21,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-04-28,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-05-05,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-05-12,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-05-19,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-05-26,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-06-02,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-06-09,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-06-16,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-06-23,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-06-30,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-07-07,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-07-14,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-07-21,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-07-28,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-08-04,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-08-11,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-08-18,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-08-25,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-09-01,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-09-08,2,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-09-15,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-09-22,2,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-09-29,2,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-10-06,2,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-10-13,3,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-10-20,2,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-10-27,2,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-11-03,3,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-11-10,4,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-11-17,4,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-11-24,4,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-12-01,5,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-12-08,4,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-12-15,6,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-12-22,6,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2024-12-29,7,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-01-05,7,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-01-12,7,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-01-19,7,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-01-26,7,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-02-02,7,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-02-09,7,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-02-16,6,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-02-23,6,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-03-02,6,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-03-09,5,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-03-16,5,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-03-23,4,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-03-30,4,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-04-06,3,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-04-13,3,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-04-20,2,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-04-27,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-05-04,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-05-11,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-05-18,2,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-05-25,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-06-01,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-06-08,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-06-15,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-06-22,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-06-29,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-07-06,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-07-13,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-07-20,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-07-27,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-08-03,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-08-10,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-08-17,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-08-24,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-08-31,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-09-07,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-09-14,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-09-21,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-09-28,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-10-05,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-10-12,0,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
2025-10-19,1,USDA APHIS HPAI confirmed cases (seeded — fetcher TBD)
