month,cumulative_birds_m,birds_depopulated_m,wave_label
2022-04,30.0,30.0,First wave (2022)
2023-04,58.0,28.0,First wave tail
2024-01,58.0,0.0,
2024-02,58.0,0.0,
2024-03,58.0,0.0,
2024-04,58.0,0.0,
2024-05,58.0,0.0,
2024-06,58.0,0.0,
2024-07,58.0,0.0,
2024-08,58.5,0.5,
2024-09,60.25,1.75,
2024-10,62.5,2.25,
2024-11,66.25,3.75,
2024-12,73.25,7.0,
2025-01,80.25,7.0,
2025-02,86.75,6.5,
2025-03,92.75,6.0,
2025-04,95.0,2.25,
2025-05,96.25,1.25,
2025-06,97.5,1.25,
2025-07,97.5,0.0,
2025-08,97.75,0.25,
2025-09,97.75,0.0,
2025-10,98.25,0.5,
2025-11,99.0,0.75,
2025-12,99.0,0.0,
2026-01,99.25,0.25,
2026-02,99.25,0.0,
2026-03,99.25,0.0,
2026-04,99.25,0.0,
2026-05,99.25,0.0,
