month,layer_flock_millions,source
2024-01,312.6,USDA APHIS table 1 (seeded — fetcher TBD)
2024-02,312.3,USDA APHIS table 1 (seeded — fetcher TBD)
2024-03,310.6,USDA APHIS table 1 (seeded — fetcher TBD)
2024-04,309.1,USDA APHIS table 1 (seeded — fetcher TBD)
2024-05,309.7,USDA APHIS table 1 (seeded — fetcher TBD)
2024-06,310.0,USDA APHIS table 1 (seeded — fetcher TBD)
2024-07,306.7,USDA APHIS table 1 (seeded — fetcher TBD)
2024-08,307.9,USDA APHIS table 1 (seeded — fetcher TBD)
2024-09,306.7,USDA APHIS table 1 (seeded — fetcher TBD)
2024-10,305.6,USDA APHIS table 1 (seeded — fetcher TBD)
2024-11,306.0,USDA APHIS table 1 (seeded — fetcher TBD)
2024-12,304.0,USDA APHIS table 1 (seeded — fetcher TBD)
2025-01,295.2,USDA APHIS table 1 (seeded — fetcher TBD)
2025-02,286.1,USDA APHIS table 1 (seeded — fetcher TBD)
2025-03,286.3,USDA APHIS table 1 (seeded — fetcher TBD)
2025-04,286.8,USDA APHIS table 1 (seeded — fetcher TBD)
2025-05,287.3,USDA APHIS table 1 (seeded — fetcher TBD)
2025-06,289.0,USDA APHIS table 1 (seeded — fetcher TBD)
2025-07,289.8,USDA APHIS table 1 (seeded — fetcher TBD)
2025-08,293.9,USDA APHIS table 1 (seeded — fetcher TBD)
2025-09,293.8,USDA APHIS table 1 (seeded — fetcher TBD)
2025-10,294.5,USDA APHIS table 1 (seeded — fetcher TBD)
2025-11,295.6,USDA APHIS table 1 (seeded — fetcher TBD)
2025-12,297.1,USDA APHIS table 1 (seeded — fetcher TBD)
2026-01,298.6,USDA APHIS table 1 (seeded — fetcher TBD)
2026-02,298.6,USDA APHIS table 1 (seeded — fetcher TBD)
2026-03,301.7,USDA APHIS table 1 (seeded — fetcher TBD)
2026-04,300.6,USDA APHIS table 1 (seeded — fetcher TBD)
2026-05,301.4,USDA APHIS table 1 (seeded — fetcher TBD)
