week,price_per_dozen,source
2021-05-02,1.688,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-05-09,1.533,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-05-16,1.591,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-05-23,1.638,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-05-30,1.56,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-06-06,1.642,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-06-13,1.659,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-06-20,1.536,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-06-27,1.776,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-07-04,1.76,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-07-11,1.68,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-07-18,1.734,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-07-25,1.806,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-08-01,1.763,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-08-08,1.782,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-08-15,1.703,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-08-22,1.881,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-08-29,1.864,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-09-05,1.894,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-09-12,1.768,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-09-19,2.04,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-09-26,1.938,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-10-03,1.912,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-10-10,2.123,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-10-17,1.975,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-10-24,1.881,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-10-31,1.982,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-11-07,1.849,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-11-14,2.134,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-11-21,2.034,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-11-28,2.026,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-12-05,2.189,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-12-12,1.989,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-12-19,2.181,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2021-12-26,1.991,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-01-02,2.121,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-01-09,2.096,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-01-16,2.327,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-01-23,2.369,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-01-30,2.219,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-02-06,2.33,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-02-13,2.266,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-02-20,2.344,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-02-27,2.256,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-03-06,2.197,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-03-13,2.208,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-03-20,2.4,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-03-27,2.567,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-04-03,2.442,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-04-10,2.452,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-04-17,2.72,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-04-24,2.66,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-05-01,2.722,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-05-08,2.807,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-05-15,2.85,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-05-22,2.909,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-05-29,2.892,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-06-05,3.12,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-06-12,3.146,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-06-19,3.322,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-06-26,3.27,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-07-03,3.221,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-07-10,3.439,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-07-17,3.656,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-07-24,3.562,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-07-31,3.595,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-08-07,3.644,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-08-14,3.729,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-08-21,3.862,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-08-28,3.865,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-09-04,4.152,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-09-11,4.083,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-09-18,4.188,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-09-25,4.367,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-10-02,4.446,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-10-09,4.382,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-10-16,4.499,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-10-23,4.604,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-10-30,4.603,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-11-06,4.55,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-11-13,4.817,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-11-20,4.91,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-11-27,4.945,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-12-04,4.911,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-12-11,5.042,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-12-18,4.974,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2022-12-25,4.814,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-01-01,4.759,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-01-08,4.594,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-01-15,4.342,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-01-22,4.15,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-01-29,3.977,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-02-05,3.738,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-02-12,3.55,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-02-19,3.319,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-02-26,3.185,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-03-05,3.187,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-03-12,2.893,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-03-19,2.613,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-03-26,2.419,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-04-02,2.227,USDA AMS shell egg wholesale (seeded — fetcher TBD)
2023-04-09,2.3,USDA AMS shell egg wholesale (seeded — fetcher TBD)
