date,close,volume
2023-05-22,15.12,149600
2023-05-23,15.19,240100
2023-05-24,15.11,205900
2023-05-25,14.66,124400
2023-05-26,14.98,150900
2023-05-30,13.86,206800
2023-05-31,14.49,459900
2023-06-01,14.49,583400
2023-06-02,14.71,309500
2023-06-05,14.54,178900
2023-06-06,14.62,212800
2023-06-07,14.79,287900
2023-06-08,14.65,159300
2023-06-09,14.16,238200
2023-06-12,14.34,184800
2023-06-13,13.78,228300
2023-06-14,13.61,145900
2023-06-15,13.48,143900
2023-06-16,13.23,611900
2023-06-20,12.95,233400
2023-06-21,13.0,448900
2023-06-22,13.21,184500
2023-06-23,13.18,473000
2023-06-26,12.56,218400
2023-06-27,12.01,215400
2023-06-28,11.79,278900
2023-06-29,11.9,390100
2023-06-30,11.99,231300
2023-07-03,12.05,105000
2023-07-05,11.85,264700
2023-07-06,11.42,161800
2023-07-07,11.35,145000
2023-07-10,11.38,331900
2023-07-11,11.15,475400
2023-07-12,11.03,254700
2023-07-13,11.17,281200
2023-07-14,10.26,2791400
2023-07-17,10.8,528100
2023-07-18,11.13,1493400
2023-07-19,10.975,756100
2023-07-20,10.92,349300
2023-07-21,10.68,253100
2023-07-24,10.72,368300
2023-07-25,10.69,238600
2023-07-26,11.11,324600
2023-07-27,11.07,884800
2023-07-28,11.44,274100
2023-07-31,11.7,437200
2023-08-01,10.705,422900
2023-08-02,10.54,494000
2023-08-03,13.27,2112500
2023-08-04,12.4,759500
2023-08-07,12.25,440000
2023-08-08,12.18,874000
2023-08-09,11.66,383500
2023-08-10,12.0,328700
2023-08-11,12.01,194300
2023-08-14,11.65,308700
2023-08-15,11.35,287100
2023-08-16,12.0,1091800
2023-08-17,11.98,647200
2023-08-18,12.51,747100
2023-08-21,12.42,349000
2023-08-22,12.59,331500
2023-08-23,12.46,237700
2023-08-24,12.06,255200
2023-08-25,12.19,166000
2023-08-28,12.23,164400
2023-08-29,11.98,330300
2023-08-30,11.985,206400
2023-08-31,11.78,160900
2023-09-01,11.86,208000
2023-09-05,11.57,286800
2023-09-06,11.3,284000
2023-09-07,11.46,317800
2023-09-08,11.43,154400
2023-09-11,10.98,250500
2023-09-12,11.12,248200
2023-09-13,10.38,454700
2023-09-14,10.69,424600
2023-09-15,10.82,505300
2023-09-18,10.92,573500
2023-09-19,11.23,413900
2023-09-20,11.08,240500
2023-09-21,11.64,441500
2023-09-22,11.69,447500
2023-09-25,11.59,255000
2023-09-26,11.59,320600
2023-09-27,11.48,192000
2023-09-28,11.74,209600
2023-09-29,11.58,470000
2023-10-02,11.21,165000
2023-10-03,11.16,162600
2023-10-04,11.1,176900
2023-10-05,11.0,298200
2023-10-06,10.89,206700
2023-10-09,11.12,218600
2023-10-10,11.45,243000
2023-10-11,11.1,161500
2023-10-12,10.82,226100
2023-10-13,10.76,247200
2023-10-16,10.99,340200
2023-10-17,10.99,211100
2023-10-18,11.02,211900
2023-10-19,10.99,187800
2023-10-20,10.57,283000
2023-10-23,10.59,236100
2023-10-24,10.97,257500
2023-10-25,11.07,164600
2023-10-26,11.21,174200
2023-10-27,10.73,300300
2023-10-30,10.85,205300
2023-10-31,11.06,193300
2023-11-01,11.34,300600
2023-11-02,11.45,497800
2023-11-03,11.65,274700
2023-11-06,12.08,350900
2023-11-07,12.01,257100
2023-11-08,11.71,226900
2023-11-09,11.8,232200
2023-11-10,12.01,161200
2023-11-13,11.84,287100
2023-11-14,12.34,380600
2023-11-15,12.8,475300
2023-11-16,12.46,261000
2023-11-17,12.7,486600
2023-11-20,12.87,365400
2023-11-21,12.41,296500
2023-11-22,12.69,185200
2023-11-24,12.83,50600
2023-11-27,12.58,155200
2023-11-28,12.88,277700
2023-11-29,12.84,212000
2023-11-30,13.32,289500
2023-12-01,13.9,349100
2023-12-04,13.94,432500
2023-12-05,14.13,251900
2023-12-06,14.29,186300
2023-12-07,14.65,195900
2023-12-08,15.21,381900
2023-12-11,15.13,548200
2023-12-12,15.06,308300
2023-12-13,15.3,317600
2023-12-14,14.84,300200
2023-12-15,14.42,434100
2023-12-18,14.2,241200
2023-12-19,14.77,233400
2023-12-20,14.75,221800
2023-12-21,14.96,141000
2023-12-22,15.06,157700
2023-12-26,15.13,176100
2023-12-27,15.48,188500
2023-12-28,15.67,159100
2023-12-29,15.69,165200
2024-01-02,15.43,201300
2024-01-03,14.86,213500
2024-01-04,15.38,233000
2024-01-05,15.35,153400
2024-01-08,15.76,221400
2024-01-09,15.24,187400
2024-01-10,15.52,173300
2024-01-11,15.07,230700
2024-01-12,15.25,190600
2024-01-16,15.19,282100
2024-01-17,14.83,161300
2024-01-18,14.75,279900
2024-01-19,14.41,230500
2024-01-22,14.57,173100
2024-01-23,14.59,203900
2024-01-24,14.71,206400
2024-01-25,15.02,212800
2024-01-26,14.93,144500
2024-01-29,15.05,110300
2024-01-30,15.08,536500
2024-01-31,14.38,167000
2024-02-01,15.14,248900
2024-02-02,14.75,214500
2024-02-05,14.95,360400
2024-02-06,14.87,100100
2024-02-07,14.9,149400
2024-02-08,15.31,256600
