video_id,published,title,channel,description,views,url,query,pass
AxGsNGb8uPM,2026-05-20T16:28:29Z,"My vital farms, trade 3 days later update ￼",notinvestmentadvice,,149,https://www.youtube.com/watch?v=AxGsNGb8uPM,vital farms,general
qQoLPiefGwE,2026-05-20T15:22:49Z,Fair warning that we made another 3-minute video about corn and soy. Got your pop&#39;corn&#39; ready?,Vital Farms,,3642,https://www.youtube.com/watch?v=qQoLPiefGwE,vital farms,general
X8Ula0ypqKI,2026-05-19T23:00:33Z,Beyond the Plant: Why a Clean Pot is Vital for Retail Success,Sester Farms Inc.,sesterfarms #plantnursery #cleaning #shipping #oregon.,672,https://www.youtube.com/watch?v=X8Ula0ypqKI,vital farms,general
SrXizwaEnKo,2026-05-18T22:00:34Z,The Egg-Mobile Is Back In Business!!,5 Acre Farm,It's time to grab some more layers and get back into selling pasture raised eggs. www.5acrefarmkansas.com Amazon Link to ...,8458,https://www.youtube.com/watch?v=SrXizwaEnKo,pasture raised eggs,general
HrXl4-jEwCg,2026-05-18T21:45:00Z,ELE TROCOU TUDO  pela VIDA no CAMPO: NEGÓCIO COM OVOS CAIPIRA,Escola de avicultores,Conheça o curso on-line da Escola de Avicultores e cadastre-se na lista de espera: ...,10978,https://www.youtube.com/watch?v=HrXl4-jEwCg,pasture raised eggs,general
WfXDr3aktDA,2026-05-18T16:20:35Z,"CAZANDO ACCIONES - Análisis de Vital Farms, Comcast, Helloworld Travel y UNH",Cazando Acciones,Recuerda: este vídeo es solo educativo y no constituye una recomendación de inversión. Haz siempre tu propio análisis antes de ...,23,https://www.youtube.com/watch?v=WfXDr3aktDA,vital farms,general
a3rZZM8_tL8,2026-05-17T15:02:40Z,Why Do You Need to Move  Chickens Every 3 Days?,Bright America,"Most backyard chickens stay in one place but this system moves them every few days. By rotating chickens across pasture, they ...",4071,https://www.youtube.com/watch?v=a3rZZM8_tL8,pasture raised eggs,general
QehWL6aMLhQ,2026-05-17T14:15:34Z,Vital Farms: What Actually Broke? (My 2027 Outlook),The Purposeful Investor,"Vital Farms stock is down more than 80%. At first glance, it looks like things broke — margins collapsed, earnings turned into ...",54,https://www.youtube.com/watch?v=QehWL6aMLhQ,vital farms,general
_lLH5thL0qk,2026-05-15T13:35:14Z,"Vital Farms Great Eggs, Terrible Alignment",Daniel Tornvall,YouTube Description (Revised) Vital Farms just dropped another 20% after earnings. But the stock price isn't what bothers me ...,50,https://www.youtube.com/watch?v=_lLH5thL0qk,vital farms,general
oWlMvMzX7fg,2026-05-14T22:00:29Z,"#baconeggandcheese #sausage with @VitalFarms eggs, cream cheese, maple syrup, and @smp_usa cracklin",Zilla Grilla,,1701,https://www.youtube.com/watch?v=oWlMvMzX7fg,vital farms,general
LzxehZE5MVs,2026-05-14T21:20:08Z,Vital Farms Stock | Pricing a Premium Brand Like a Commodity,Flash by StockSentinel ai,"Vital Farms (VITL) crashed 75% to a 0.46x P/S valuation — full stock analysis, buy or sell? Want this level of research on ANY ...",24,https://www.youtube.com/watch?v=LzxehZE5MVs,vital farms,general
6CrsrZt8QwA,2026-05-13T21:07:39Z,SO EXCITED!! Let me know what y’all want me to freeze dry first! I have big plans &amp; can’t wait to,Katie - Rosehips Rewritten,SO EXCITED!! Let me know what y'all want me to freeze dry first! I have big plans & can't wait to experiment with y'all ❄️ If you ...,1011,https://www.youtube.com/watch?v=6CrsrZt8QwA,pasture raised eggs,general
VVad8vzWQIE,2026-05-12T20:08:07Z,"Rosemary Farm – Rich-Yolk Eggs, Rich in Story (30 sec)",Rosemary Farm Eggs,"Discover Rosemary Farm eggs, where rich, golden yolks reflect our commitment to quality, care, and sustainable farming.",79417,https://www.youtube.com/watch?v=VVad8vzWQIE,pasture raised eggs,general
e2FewHMNym8,2026-05-12T05:36:11Z,🟢VITALFARMS publica RESULTADOS de este 2026Q2🥚|👉¿Cuál sería una VALORACIÓN DE GUERRA? ¿HE INVERTIDO?,Systematic Value Investing ~ SVI,"NEWSLETTER SEMANAL — Análisis del mercado, lectura macro, movimientos del fondo SVI, noticias de las posiciones en ...",922,https://www.youtube.com/watch?v=e2FewHMNym8,vital farms,general
W5oCm3XP-lg,2026-05-11T23:15:24Z,DON&#39;T Buy These 9 US Egg Brands (What the Carton Labels Are Hiding From You),BuriedFix,Half a billion eggs recalled in a single summer. Nearly 2000 Americans sickened. Traced back to two farms owned by one man.,66,https://www.youtube.com/watch?v=W5oCm3XP-lg,vital farms,general
XzjZ5lEPejQ,2026-05-11T17:11:40Z,Been a while since I’ve posted an egg stand ASMR 🐓🥚 #eggs #chickens #homestead #backyardchickens,Katie - Rosehips Rewritten,Been a while since I've posted an egg stand ASMR #eggs #chickens #homestead #backyardchickens #happychickens ...,2630,https://www.youtube.com/watch?v=XzjZ5lEPejQ,pasture raised eggs,general
QcJ2K6HaZiY,2026-05-11T17:05:51Z,"Healthy high-protein breakfast hash on the Blackstone 🔥 Crispy potatoes, chicken sausage &amp; eggs.",Side Quests Project,This Blackstone breakfast hash is one of the easiest healthy high-protein breakfasts you can make outside. Crispy potatoes ...,1518,https://www.youtube.com/watch?v=QcJ2K6HaZiY,pasture raised eggs,general
ND4kYAIMBgA,2026-05-11T00:43:36Z,Vital Farms vs White Lotus Farms #egg #organic #breakfast #cooking #protein,Chef Jay Kinney,,554,https://www.youtube.com/watch?v=ND4kYAIMBgA,vital farms,general
2LpdpT37vGQ,2026-05-10T14:00:28Z,What Happens When You Eat 3 Eggs Every Day? (Doctor Explains the Truth!),Dr. Aaliyah Grant,"What happens when you eat 3 eggs every single day? Most people are SHOCKED when they learn the real truth! In this video, a ...",1695,https://www.youtube.com/watch?v=2LpdpT37vGQ,pasture raised eggs,general
6flHk_eaCBs,2026-05-10T13:15:56Z,🥚 Why You Should NEVER Eat Just Egg Whites,DR BERG DC HEALTH,"If you are still eating egg white omelets to ""save calories"" or ""protect your heart,"" you are missing out on the most nutrient-dense ...",1686,https://www.youtube.com/watch?v=6flHk_eaCBs,pasture raised eggs,general
IO5BZVzIKss,2026-05-10T13:08:49Z,Egg stand walk through for any new faces 🙂 My cooler is bisoncoolers #eggs #chickens #homestead,Katie - Rosehips Rewritten,Egg stand walk through for any new faces My cooler is bisoncoolers #eggs #chickens #homestead #backyardchickens ...,1270,https://www.youtube.com/watch?v=IO5BZVzIKss,pasture raised eggs,general
AXzlA36Ydds,2026-05-09T16:44:28Z,"Chaos on the Farm: Chickens, Dogs, and Free-Range Fun! #shorts",JMZ Farms,Just finished collecting eggs and making sure they're clean for you! It takes real work to get these fresh eggs from my farm to your ...,1385,https://www.youtube.com/watch?v=AXzlA36Ydds,pasture raised eggs,general
5iOZiDGuY1A,2026-05-09T15:09:27Z,FAIRY EGGS!! 🧚‍♂️🥚✨ Which is your favorite? #eggs #chickens #homestead #backyardchickens,Katie - Rosehips Rewritten,FAIRY EGGS!! ‍♂️  ✨ Which is your favorite? #eggs #chickens #homestead #backyardchickens #happychickens ...,1034,https://www.youtube.com/watch?v=5iOZiDGuY1A,pasture raised eggs,general
BIU8Hsrp9SQ,2026-05-09T01:25:56Z,Seriously? Recycled egg shells as my plant food. #plantas #organic @VitalFarms @KarmaandLuck,Sam,Recycled eggshells have helped my plants thrive just when I was starting to feel plant. mom guilt that I wasn't caring for them right.,1915,https://www.youtube.com/watch?v=BIU8Hsrp9SQ,vital farms,general
4jLtJLiAAvQ,2026-05-08T19:00:12Z,Joe Rogan on The Truth About Pasture Raised Eggs,Rogan Mind Shots,,20582,https://www.youtube.com/watch?v=4jLtJLiAAvQ,pasture raised eggs,general
4PVxMmLgVgk,2026-05-08T17:12:50Z,New employee of the week 🐓💃🏻 #eggs #chickens #homestead #backyardchickens #happychickens,Katie - Rosehips Rewritten,New employee of the week #eggs #chickens #homestead #backyardchickens #happychickens #homesteading ...,2239,https://www.youtube.com/watch?v=4PVxMmLgVgk,pasture raised eggs,general
uJeVr2Xn2W0,2026-05-08T12:26:48Z,Attention Farmers! 🚨📢 This is a vital update you don’t want to miss,Dalscone Farm,Our sheep conveyor has been a total game-changer for our growing commercial flock—we honestly couldn't manage without it.,18161,https://www.youtube.com/watch?v=uJeVr2Xn2W0,vital farms,general
_Bji5mrEWjs,2026-05-08T01:49:24Z,Vital Farms Stock Crashed… Is this an Opportunity?!,tay soprano,"Post (POST) Q1 CY2026 Highlights: Revenue: $2.04 billion vs analyst estimates of $2.07 billion (4.7% year-on-year growth, 1.3% ...",107,https://www.youtube.com/watch?v=_Bji5mrEWjs,vital farms,general
7dbjNsePGbg,2026-05-07T15:53:30Z,Why I&#39;m Watching Vital Farms After the Drawdown,Daniel Tornvall,"A pasture-raised egg brand that has compounded revenue for a decade, holds a dominant market position, and just pulled back ...",303,https://www.youtube.com/watch?v=7dbjNsePGbg,vital farms,general
g-F7QvB3Pbs,2026-05-07T15:45:36Z,Vital Farms Stock Analysis | Inside the 95% Profit Reset,Flash by StockSentinel ai,Vital Farms (VITL) stock analysis: 95% profit cut signals a reset — full deep dive Want this level of research on ANY COMPANY ...,276,https://www.youtube.com/watch?v=g-F7QvB3Pbs,vital farms,general
b1f5_U4a-2Y,2026-05-06T22:17:12Z,WHAT!! You’re Eating Eggs Wrong,Jamel_AKA_Jamal,Original video https://youtu.be/ViQ5dOZgYU0?si=2B420p4CSGS7Fz8s.,4925,https://www.youtube.com/watch?v=b1f5_U4a-2Y,pasture raised eggs,general
2TLu9A9jCsY,2026-05-06T17:14:34Z,The difference between our Heirloom Eggs and our Organic Pasture-Raised Brown Eggs! 🥚🐓 #shortsfeed,OrgaNick Pastures,,988,https://www.youtube.com/watch?v=2TLu9A9jCsY,pasture raised eggs,general
zNsKMHfxYdM,2026-05-06T15:36:16Z,Maybe.,The Faithful Farmstead,Maybe. But that's never really been the point. 1. We want our kids connected to their food—not disconnected from where it comes ...,1432,https://www.youtube.com/watch?v=zNsKMHfxYdM,pasture raised eggs,general
lc-5a2UIlJI,2026-05-06T03:40:30Z,Vital Farms Exposed! ⚠️#healthylifestyle #health #groceryshopping #vitalfarms #eggs,ScanWithPurely,,17493,https://www.youtube.com/watch?v=lc-5a2UIlJI,vital farms,general
bv9uFMWu5JU,2026-05-05T20:54:00Z,Why can’t you have chickens in your own backyard?,todd_eatswell,foodfacts #grocery #nutritionfacts #grocerystore #healthyfood.,26802,https://www.youtube.com/watch?v=bv9uFMWu5JU,pasture raised eggs,general
4eykHFfNxWY,2026-05-05T19:07:51Z,Farmstand 101 - Supplies Pt 1 🥚🍅🫛🥕 Here is a few helpful things that make our farmstand run,Katie - Rosehips Rewritten,Farmstand 101 - Supplies Pt 1 Here is a few helpful things that make our farmstand run smoothly. My biggest tip is to ...,1154,https://www.youtube.com/watch?v=4eykHFfNxWY,pasture raised eggs,general
VJNoY_mbcUA,2026-05-04T20:02:46Z,Vital Farms Controversy #isay,VvAbundant,Vital Farms Controversy #isay.,1450,https://www.youtube.com/watch?v=VJNoY_mbcUA,vital farms,general
z8CI59I7yD8,2026-05-04T17:13:36Z,It’s been so long since we’ve closed up the egg stand together! #eggs #chickens #homestead,Katie - Rosehips Rewritten,It's been so long since we've closed up the egg stand together! #eggs #chickens #homestead #backyardchickens ...,1204,https://www.youtube.com/watch?v=z8CI59I7yD8,pasture raised eggs,general
krfaqCZnx6E,2026-05-03T15:15:00Z,🟢IMPORTANTE: VITALFARMS podría EXPLOTAR en BOLSA en MAYO de 2026🥚😲 | ¿¿SHORT SQUEEZE?? 🚀,Systematic Value Investing ~ SVI,"NEWSLETTER SEMANAL — Análisis del mercado, lectura macro, movimientos del fondo SVI, noticias de las posiciones en ...",1100,https://www.youtube.com/watch?v=krfaqCZnx6E,vital farms,general
PzysvpYs8v0,2026-05-02T21:57:18Z,11 Egg Brands To NEVER Buy And 4 That Are Actually Pasture-Raised,Food Fraud,Most egg cartons are covered in labels designed to make you feel good about a purchase the industry doesn't want you to ...,976,https://www.youtube.com/watch?v=PzysvpYs8v0,pasture raised eggs,general
IbA7tVwicsQ,2026-05-02T21:26:02Z,Grocery store eggs just aren’t the move. The question to ask yourself is: do you know the farmer?,Grant Stoll,,27172,https://www.youtube.com/watch?v=IbA7tVwicsQ,pasture raised eggs,general
HgB5ujQ2afU,2026-05-02T19:12:55Z,I’ve had a few ask what to do when their hens are eating their eggs,Katie - Rosehips Rewritten,I've had a few ask what to do when their hens are eating their eggs. It's such a hard habit to break but here's a few tips ...,1613,https://www.youtube.com/watch?v=HgB5ujQ2afU,pasture raised eggs,general
jSYJ6U6Vc7U,2026-05-02T13:01:17Z,A Farmer Explains Why NOT To Buy Eggs,Farmer Cody,GET THE EGG SHOPPING LIST: http://grassrootscoop.com/Eggs GET 15% OFF YOUR FIRST ORDER AT GRASS ROOTS ...,4337,https://www.youtube.com/watch?v=jSYJ6U6Vc7U,pasture raised eggs,general
MWqYV7HyhNg,2026-05-02T12:41:44Z,OMG TRY IT!!! Local farm eggs from @VitalFarms and perfect before heading into the garden! #food,GardenerDad,,1815,https://www.youtube.com/watch?v=MWqYV7HyhNg,vital farms,general
ubKPnK7gckw,2026-05-02T01:22:16Z,Viral Farms Eggs EXPOSED ⚠️#healthylifestyle #health #groceryshopping #vitalfarms #eggs,ScanWithPurely,,432,https://www.youtube.com/watch?v=ubKPnK7gckw,vital farms,general
3mcFVLgSk8c,2026-05-01T16:02:00Z,Why We&#39;re A Publicly Traded Company,Vital Farms,Get comfy and geek out with us for 3.5 minutes while we show you why we're proud of being a publicly traded company.,240,https://www.youtube.com/watch?v=3mcFVLgSk8c,vital farms,general
NaIMD7wHjWQ,2026-05-01T16:00:00Z,买一百股就能白坐邮轮？这些股票买了送鸡蛋、送巧克力、送爆米花！｜股东福利清单,韭菜不香_深度财经,你知道吗？持有一百股嘉年华邮轮的股票，每次坐船能白拿最高两百五十美元的船上消费券。持有一百股Vital Farms，每个季度送你 ...,67,https://www.youtube.com/watch?v=NaIMD7wHjWQ,vital farms,general
Kg-VAZqIzQE,2026-05-01T15:09:43Z,It finally happened 😔 I can count the amount of times on one hand that I’ve been shorted for eggs,Katie - Rosehips Rewritten,It finally happened I can count the amount of times on one hand that I've been shorted for eggs since I've had my eggs stand.,139801,https://www.youtube.com/watch?v=Kg-VAZqIzQE,pasture raised eggs,general
OdA5TtrfBSI,2026-05-01T14:46:00Z,Sponsored Content: Vital Farms Giving Free Egg Sandwiches For Route 66,Ozarks First,Sponsored Content: Vital Farms Giving Free Egg Sandwiches For Route 66 Subscribe to our YouTube channel: ...,79,https://www.youtube.com/watch?v=OdA5TtrfBSI,vital farms,general
1wg0HNjrBNs,2026-05-01T14:15:17Z,The best farm fresh pasturized eggs i have ever eaten!!,Jeanine's Kitchen and more,,2233,https://www.youtube.com/watch?v=1wg0HNjrBNs,vital farms,general
